"code,""order""";Genus;Species;Author;Year;Instar;Sex;Eggs;Body length (um);Notes;;
"1805,""Calanoid""";Eudiaptomus; gracilis;(Sars G.O.);1863;CVI;female;;1205;;;
"1806,""Cyclopoid""";Mesocyclops;leuckarti;(Claus);1857;CVI;female;P;930;;;
"1807,""Cyclopoid""";Mesocyclops;leuckarti;(Claus);1857;CVI;female;P;1105;single egg!;;
"1808,""Calanoid""";Eurytemora; velox;(Lilljeborg);1853;CVI;female;P;1606;;;
"1809,""Cyclopoid""";Mesocyclops;leuckarti;(Claus);1857;CVI;female;P;1140;few eggs;;
"1810,""Calanoid""";Eurytemora; velox;(Lilljeborg);1853;CVI;female;P;1562;;;
"1811,""Calanoid""";Eurytemora; velox;(Lilljeborg);1853;CVI;female;P;1493;;;
"1812,""Cyclopoid""";Acanthocyclops;trajani;Mirabdullayev & Defaye;2002;CVI;female;;1310;"P4 with abnormal morphology; spermatophores present";;
"1901,""Cyclopoid""";Acanthocyclops;trajani;Mirabdullayev & Defaye;2002;CVI;female;P;1325;with two eggs only;;
"1902,""Calanoid""";Eurytemora; carolleeae;Alekseev & Souissi;2011;CVI;female;P;1377;;;
"1903,""Cyclopoid""";Mesocyclops;leuckarti;(Claus);1857;CVI;female;P;935;;;
"1904,""Calanoid""";Eurytemora; velox;(Lilljeborg);1853;CVI;female;P;1459;;;
"1905,""Cyclopoid""";Mesocyclops;leuckarti;(Claus);1857;CVI;female;P;1110;;;
"1906,""Calanoid""";Eurytemora; velox;(Lilljeborg);1853;CVI;female;P;1588;;;
"1907,""Cyclopoid""";Thermocyclops;crassus;(Fischer);1853;CVI;female;P;915;;;
"1909,""Cyclopoid""";Thermocyclops;oithonoides;(Sars G.O.);1863;CVI;female;P;845;the legs and body with epibiont protozoa;;
"1910,""Cyclopoid""";Thermocyclops;oithonoides;(Sars G.O.);1863;CVI;female;P;810;;;
"1911,""Calanoid""";Eurytemora; velox;(Lilljeborg);1853;CVI;female;P;1533;;;
"1912,""Cyclopoid""";Acanthocyclops;trajani;Mirabdullayev & Defaye;2002;CVI;female;P;1280;;;
"2001,""Cyclopoid""";Acanthocyclops;trajani;Mirabdullayev & Defaye;2002;CVI;female;P;1325;few eggs;;
"2002,""Calanoid""";Eudiaptomus; gracilis;(Sars G.O.);1863;CVI;female;;1255;;;
"2003,""Cyclopoid""";Mesocyclops;leuckarti;(Claus);1857;CVI;female;P;955;;;
"2004,""Cyclopoid""";Megacyclops;viridis;(Jurine);1820;CVI;female;P;1825;;;
"2005,""Cyclopoid""";Mesocyclops;leuckarti;(Claus);1857;CVI;female;P;930;;;
"2006,""Cyclopoid""";Acanthocyclops;trajani;Mirabdullayev & Defaye;2002;CVI;female;;1210;;;
"2008,""Calanoid""";Eurytemora; velox;(Lilljeborg);1853;CVI;female;P;1600;;;
"2009,""Cyclopoid""";Acanthocyclops;trajani;Mirabdullayev & Defaye;2002;CVI;female;P;1315;;;
"2010,""Cyclopoid""";Mesocyclops;leuckarti;(Claus);1857;CVI;female;;1130;;;
"2011,""Calanoid""";Eurytemora; velox;(Lilljeborg);1853;CVI;female;P;1549;;;
"2012,""Calanoid""";Eurytemora; velox;(Lilljeborg);1853;CVI;female;;1664;;;
"2101,""Calanoid""";Eurytemora; velox;(Lilljeborg);1853;CVI;female;P;1560;;;
"2102,""Cyclopoid""";Acanthocyclops;trajani;Mirabdullayev & Defaye;2002;CVI;female;P;1225;;;
"2103,""Cyclopoid""";Thermocyclops;oithonoides;(Sars G.O.);1863;CVI;female;P;790;one egg sac (in the vial!) detached from the body during dissection;;
"2104,""Cyclopoid""";Acanthocyclops;trajani;Mirabdullayev & Defaye;2002;CVI;female;P;1390;few eggs;;
"2105,""Cyclopoid""";Thermocyclops;oithonoides;(Sars G.O.);1863;CVI;female;P;800;;;
"2106,""Calanoid""";Eurytemora; velox;(Lilljeborg);1853;CVI;female;P;1475;;;
"2108,""Cyclopoid""";Acanthocyclops;trajani;Mirabdullayev & Defaye;2002;CVI;female;P;1285;protozoan epibionts on the body in large numbers;;
"2109,""Cyclopoid""";Thermocyclops;oithonoides;(Sars G.O.);1863;CVI;female;P;815;;;
"2110,""Calanoid""";Eudiaptomus; gracilis;(Sars G.O.);1863;CVI;female;;1293;;;
"2111,""Cyclopoid""";Thermocyclops;oithonoides;(Sars G.O.);1863;CVI;female;P;805;;;
"2112,""Calanoid""";Eurytemora; carolleeae;Alekseev & Souissi;2011;CVI;female;P;1336;;;
"2201,""Cyclopoid""";Mesocyclops;leuckarti;(Claus);1857;CVI;female;;1040;;;
"2202,""Cyclopoid""";Acanthocyclops;trajani;Mirabdullayev & Defaye;2002;CVI;female;P;1325;;;
"2203,""Calanoid""";Eurytemora; velox;(Lilljeborg);1853;CVI;female;P;1745;;;
"2204,""Calanoid""";Eudiaptomus; gracilis;(Sars G.O.);1863;CVI;female;;1228;;;
"2205,""Cyclopoid""";Thermocyclops;crassus;(Fischer);1853;CVI;female;P;920;;;
"2206,""Calanoid""";Eurytemora; velox;(Lilljeborg);1853;CVI;female;;1565;;;
"2207,""Cyclopoid""";Acanthocyclops;trajani;Mirabdullayev & Defaye;2002;CVI;female;P;1345;Spermatophores are also present;;
"2208,""Cyclopoid""";Thermocyclops;oithonoides;(Sars G.O.);1863;CVI;female;P;765;One egg sac only;;
"2209,""Calanoid""";Eudiaptomus; gracilis;(Sars G.O.);1863;CVI;female;P;1538;;;
"2211,""Cyclopoid""";Acanthocyclops;trajani;Mirabdullayev & Defaye;2002;CVI;female;;1410;Spermatophores are present;;
"2212,""Cyclopoid""";Thermocyclops;oithonoides;(Sars G.O.);1863;CVI;female;;820;;;
"2301,""Cyclopoid""";Thermocyclops;crassus;(Fischer);1853;CVI;female;P;965;One egg sac only;;
"2302,""Cyclopoid""";Mesocyclops;leuckarti;(Claus);1857;CVI;female;P;1245;;;
"2303,""Cyclopoid""";Mesocyclops;leuckarti;(Claus);1857;CVI;female;P;1240;;;
"2304,""Cyclopoid""";Eucyclops;speratus;(Lilljeborg);1901;CVI;female;P;1430;;;
"2305,""Cyclopoid""";Thermocyclops;crassus;(Fischer);1853;CVI;female;P;955;;;
"2306,""Cyclopoid""";Eucyclops;sp. X;;;CVI;female;P;1350;"Egg sacs detached from body; in the vial";;
"2307,""Cyclopoid""";Macrocyclops;fuscus;(Jurine);1820;CVI;female;P;2070;;;
"2308,""Cyclopoid""";Macrocyclops;albidus;(Jurine);1820;CVI;female;P;1750;;;
"2309,""Cyclopoid""";Thermocyclops;crassus;(Fischer);1853;CVI;female;P;975;;;
"2310,""Cyclopoid""";Acanthocyclops;einslei;Mirabdullayev & Defaye;2004;CVI;female;P;1565;One egg sac detached (in the vial), other one on the body;;
"2312,""Cyclopoid""";Acanthocyclops;einslei;Mirabdullayev & Defaye;2004;CVI;female;;1535;;;
"2401,""Cyclopoid""";Acanthocyclops;einslei;Mirabdullayev & Defaye;2004;CVI;female;;1690;"Spermatophores present; detached from body, in the vial";;
"2402,""Cyclopoid""";Macrocyclops;fuscus;(Jurine);1820;CVI;female;P;2015;;;
"2403,""Cyclopoid""";Thermocyclops;crassus;(Fischer);1853;CVI;female;;990;;;
"2404,""Cyclopoid""";Acanthocyclops;einslei;Mirabdullayev & Defaye;2004;CVI;female;P;1535;;;
"2405,""Cyclopoid""";Macrocyclops;albidus;(Jurine);1820;CVI;female;P;1755;;;
"2406,""Cyclopoid""";Mesocyclops;leuckarti;(Claus);1857;CVI;female;P;1245;Few eggs;;
"2407,""Cyclopoid""";Macrocyclops;albidus;(Jurine);1820;CVI;female;P;1745;;;
"2408,""Cyclopoid""";Thermocyclops;crassus;(Fischer);1853;CVI;female;P;950;;;
"2409,""Cyclopoid""";Acanthocyclops;einslei;Mirabdullayev & Defaye;2004;CVI;female;P;1605;One egg sac detached from body;;
"2411,""Cyclopoid""";Macrocyclops;fuscus;(Jurine);1820;CVI;female;P;2060;;;
"2412,""Cyclopoid""";Mesocyclops;leuckarti;(Claus);1857;CVI;female;P;1255;;;
"2501,""Cyclopoid""";Macrocyclops;albidus;(Jurine);1820;CVI;female;P;1715;egg sac detached from body, in the vial;;
"2502,""Cyclopoid""";Mesocyclops;leuckarti;(Claus);1857;CVI;female;P;1235;few eggs;;
"2504,""Cyclopoid""";Acanthocyclops;einslei;Mirabdullayev & Defaye;2004;CVI;female;P;1505;few eggs;;
"2505,""Cyclopoid""";Eucyclops;speratus;(Lilljeborg);1901;CVI;female;P;1380;;;
"2506,""Cyclopoid""";Macrocyclops;albidus;(Jurine);1820;CVI;female;;1790;spermatophores present;;
"2507,""Cyclopoid""";Acanthocyclops;einslei;Mirabdullayev & Defaye;2004;CVI;female;P;1415;one egg sac detached;;
"2508,""Cyclopoid""";Macrocyclops;fuscus;(Jurine);1820;CVI;female;P;2120;;;
"2509,""Cyclopoid""";Acanthocyclops;einslei;Mirabdullayev & Defaye;2004;CVI;female;P;1685;;;
"2510,""Cyclopoid""";Eucyclops;sp. X;;;CVI;female;;1465;;;
"2511,""Cyclopoid""";Macrocyclops;fuscus;(Jurine);1820;CVI;female;P;2005;;;
"2512,""Cyclopoid""";Eucyclops;sp. X;;;CVI;female;P;1450;"One egg sac detached (in the vial); one egg sac on the body";;
"2601,""Cyclopoid""";Eucyclops;speratus;(Lilljeborg);1901;CVI;female;P;1515;;;
"2602,""Cyclopoid""";Mesocyclops;leuckarti;(Claus);1857;CVI;female;P;1190;;;
"2603,""Cyclopoid""";Macrocyclops;fuscus;(Jurine);1820;CVI;female;P;2150;;;
"2604,""Cyclopoid""";Macrocyclops;albidus;(Jurine);1820;CVI;female;P;1690;;;
"2605,""Cyclopoid""";Eucyclops;speratus;(Lilljeborg);1901;CVI;female;P;1380;both egg sacs detached from body (in the vial);;
"2607,""Cyclopoid""";Macrocyclops;fuscus;(Jurine);1820;CVI;female;P;2075;;;
"2608,""Cyclopoid""";Macrocyclops;albidus;(Jurine);1820;CVI;female;P;1745;;;
"2609,""Cyclopoid""";Acanthocyclops;einslei;Mirabdullayev & Defaye;2004;CVI;female;P;1515;;;
"2610,""Cyclopoid""";Eucyclops;speratus;(Lilljeborg);1901;CVI;female;P;1355;;;
"2611,""Cyclopoid""";Mesocyclops;leuckarti;(Claus);1857;CVI;female;P;1200;;;
"2612,""Cyclopoid""";Mesocyclops;leuckarti;(Claus);1857;CVI;female;P;1230;;;
"2701,""Cyclopoid""";Thermocyclops;crassus;(Fischer);1853;CVI;female;P;935;;;
"2702,""Cyclopoid""";Macrocyclops;albidus;(Jurine);1820;CVI;female;P;1630;;;
"2703,""Cyclopoid""";Ectocyclops;phaleratus;(Koch);1838;CVI;female;P;1145;;;
"2704,""Cyclopoid""";Eucyclops;speratus;(Lilljeborg);1901;CVI;female;P;1240;;;
"2705,""Cyclopoid""";Macrocyclops;albidus;(Jurine);1820;CVI;female;P;1625;;;
